,raceId,constructorId,points,position,wins,constructorRef,nationality,year,round,circuitId,name_y,date,circuitRef,location,country,lat,lng
44,124,6,10.0,1,1,ferrari,Italian,2002,1,1,Australian Grand Prix,3/3/2002,albert_park,Melbourne,Australia,-37.8497,144.968
45,124,7,1.0,6,0,toyota,Japanese,2002,1,1,Australian Grand Prix,3/3/2002,albert_park,Melbourne,Australia,-37.8497,144.968
46,124,18,2.0,5,0,minardi,Italian,2002,1,1,Australian Grand Prix,3/3/2002,albert_park,Melbourne,Australia,-37.8497,144.968
47,124,19,3.0,4,0,jaguar,British,2002,1,1,Australian Grand Prix,3/3/2002,albert_park,Melbourne,Australia,-37.8497,144.968
48,141,1,6.0,2,0,mclaren,British,2001,1,1,Australian Grand Prix,3/4/2001,albert_park,Melbourne,Australia,-37.8497,144.968
49,141,6,14.0,1,1,ferrari,Italian,2001,1,1,Australian Grand Prix,3/4/2001,albert_park,Melbourne,Australia,-37.8497,144.968
50,141,15,4.0,3,0,sauber,Swiss,2001,1,1,Australian Grand Prix,3/4/2001,albert_park,Melbourne,Australia,-37.8497,144.968
51,141,17,2.0,4,0,jordan,Irish,2001,1,1,Australian Grand Prix,3/4/2001,albert_park,Melbourne,Australia,-37.8497,144.968
52,141,18,0.0,9,0,minardi,Italian,2001,1,1,Australian Grand Prix,3/4/2001,albert_park,Melbourne,Australia,-37.8497,144.968
53,141,16,0.0,5,0,bar,British,2001,1,1,Australian Grand Prix,3/4/2001,albert_park,Melbourne,Australia,-37.8497,144.968
54,141,19,0.0,6,0,jaguar,British,2001,1,1,Australian Grand Prix,3/4/2001,albert_park,Melbourne,Australia,-37.8497,144.968
55,141,21,0.0,8,0,arrows,British,2001,1,1,Australian Grand Prix,3/4/2001,albert_park,Melbourne,Australia,-37.8497,144.968
56,141,22,0.0,10,0,benetton,Italian,2001,1,1,Australian Grand Prix,3/4/2001,albert_park,Melbourne,Australia,-37.8497,144.968
57,141,20,0.0,7,0,prost,French,2001,1,1,Australian Grand Prix,3/4/2001,albert_park,Melbourne,Australia,-37.8497,144.968
58,191,1,16.0,1,1,mclaren,British,1998,1,1,Australian Grand Prix,3/8/1998,albert_park,Melbourne,Australia,-37.8497,144.968
59,191,3,6.0,2,0,williams,British,1998,1,1,Australian Grand Prix,3/8/1998,albert_park,Melbourne,Australia,-37.8497,144.968
60,191,6,3.0,3,0,ferrari,Italian,1998,1,1,Australian Grand Prix,3/8/1998,albert_park,Melbourne,Australia,-37.8497,144.968
61,191,15,1.0,4,0,sauber,Swiss,1998,1,1,Australian Grand Prix,3/8/1998,albert_park,Melbourne,Australia,-37.8497,144.968
62,191,17,0.0,6,0,jordan,Irish,1998,1,1,Australian Grand Prix,3/8/1998,albert_park,Melbourne,Australia,-37.8497,144.968
63,191,22,0.0,5,0,benetton,Italian,1998,1,1,Australian Grand Prix,3/8/1998,albert_park,Melbourne,Australia,-37.8497,144.968
64,191,20,0.0,7,0,prost,French,1998,1,1,Australian Grand Prix,3/8/1998,albert_park,Melbourne,Australia,-37.8497,144.968
65,207,1,14.0,1,1,mclaren,British,1997,1,1,Australian Grand Prix,3/9/1997,albert_park,Melbourne,Australia,-37.8497,144.968
66,207,3,0.0,6,0,williams,British,1997,1,1,Australian Grand Prix,3/9/1997,albert_park,Melbourne,Australia,-37.8497,144.968
67,207,6,6.0,2,0,ferrari,Italian,1997,1,1,Australian Grand Prix,3/9/1997,albert_park,Melbourne,Australia,-37.8497,144.968
68,207,15,1.0,5,0,sauber,Swiss,1997,1,1,Australian Grand Prix,3/9/1997,albert_park,Melbourne,Australia,-37.8497,144.968
69,207,18,0.0,7,0,minardi,Italian,1997,1,1,Australian Grand Prix,3/9/1997,albert_park,Melbourne,Australia,-37.8497,144.968
70,207,21,0.0,8,0,arrows,British,1997,1,1,Australian Grand Prix,3/9/1997,albert_park,Melbourne,Australia,-37.8497,144.968
71,207,22,3.0,3,0,benetton,Italian,1997,1,1,Australian Grand Prix,3/9/1997,albert_park,Melbourne,Australia,-37.8497,144.968
72,207,20,2.0,4,0,prost,French,1997,1,1,Australian Grand Prix,3/9/1997,albert_park,Melbourne,Australia,-37.8497,144.968
73,224,1,2.0,4,0,mclaren,British,1996,1,1,Australian Grand Prix,3/10/1996,albert_park,Melbourne,Australia,-37.8497,144.968
74,224,3,16.0,1,1,williams,British,1996,1,1,Australian Grand Prix,3/10/1996,albert_park,Melbourne,Australia,-37.8497,144.968
75,224,6,4.0,2,0,ferrari,Italian,1996,1,1,Australian Grand Prix,3/10/1996,albert_park,Melbourne,Australia,-37.8497,144.968
76,224,15,0.0,7,0,sauber,Swiss,1996,1,1,Australian Grand Prix,3/10/1996,albert_park,Melbourne,Australia,-37.8497,144.968
77,224,22,3.0,3,0,benetton,Italian,1996,1,1,Australian Grand Prix,3/10/1996,albert_park,Melbourne,Australia,-37.8497,144.968
78,224,25,1.0,5,0,tyrrell,British,1996,1,1,Australian Grand Prix,3/10/1996,albert_park,Melbourne,Australia,-37.8497,144.968
79,224,27,0.0,6,0,ligier,French,1996,1,1,Australian Grand Prix,3/10/1996,albert_park,Melbourne,Australia,-37.8497,144.968
80,224,29,0.0,8,0,footwork,British,1996,1,1,Australian Grand Prix,3/10/1996,albert_park,Melbourne,Australia,-37.8497,144.968
81,36,1,14.0,11,0,mclaren,British,2007,1,1,Australian Grand Prix,3/18/2007,albert_park,Melbourne,Australia,-37.8497,144.968
82,36,2,5.0,2,0,bmw_sauber,German,2007,1,1,Australian Grand Prix,3/18/2007,albert_park,Melbourne,Australia,-37.8497,144.968
83,36,3,2.0,4,0,williams,British,2007,1,1,Australian Grand Prix,3/18/2007,albert_park,Melbourne,Australia,-37.8497,144.968
84,36,4,4.0,3,0,renault,French,2007,1,1,Australian Grand Prix,3/18/2007,albert_park,Melbourne,Australia,-37.8497,144.968
85,36,5,0.0,9,0,toro_rosso,Italian,2007,1,1,Australian Grand Prix,3/18/2007,albert_park,Melbourne,Australia,-37.8497,144.968
86,36,6,13.0,1,1,ferrari,Italian,2007,1,1,Australian Grand Prix,3/18/2007,albert_park,Melbourne,Australia,-37.8497,144.968
87,36,7,1.0,5,0,toyota,Japanese,2007,1,1,Australian Grand Prix,3/18/2007,albert_park,Melbourne,Australia,-37.8497,144.968
88,36,9,0.0,8,0,red_bull,Austrian,2007,1,1,Australian Grand Prix,3/18/2007,albert_park,Melbourne,Australia,-37.8497,144.968
89,36,11,0.0,6,0,honda,Japanese,2007,1,1,Australian Grand Prix,3/18/2007,albert_park,Melbourne,Australia,-37.8497,144.968
90,36,8,0.0,7,0,super_aguri,Japanese,2007,1,1,Australian Grand Prix,3/18/2007,albert_park,Melbourne,Australia,-37.8497,144.968
91,36,12,0.0,10,0,spyker,Dutch,2007,1,1,Australian Grand Prix,3/18/2007,albert_park,Melbourne,Australia,-37.8497,144.968
92,338,1,54.0,2,1,mclaren,British,2010,2,1,Australian Grand Prix,3/28/2010,albert_park,Melbourne,Australia,-37.8497,144.968
93,338,3,5.0,7,0,williams,British,2010,2,1,Australian Grand Prix,3/28/2010,albert_park,Melbourne,Australia,-37.8497,144.968
94,338,4,18.0,4,0,renault,French,2010,2,1,Australian Grand Prix,3/28/2010,albert_park,Melbourne,Australia,-37.8497,144.968
95,338,5,0.0,8,0,toro_rosso,Italian,2010,2,1,Australian Grand Prix,3/28/2010,albert_park,Melbourne,Australia,-37.8497,144.968
96,338,6,70.0,1,1,ferrari,Italian,2010,2,1,Australian Grand Prix,3/28/2010,albert_park,Melbourne,Australia,-37.8497,144.968
97,338,9,18.0,5,0,red_bull,Austrian,2010,2,1,Australian Grand Prix,3/28/2010,albert_park,Melbourne,Australia,-37.8497,144.968
